,Formula,0,10,20,25,30,40,50,60,70,80,90,100
106,KC2H3O2,68.4,70.29,72.09,72.92,73.7,75.08,76.27,77.31,78.22,79.04,79.8,80.55
107,KCl,21.74,23.61,25.39,26.22,27.04,28.59,30.04,31.4,32.66,33.86,34.99,36.05
108,KClO3,3.03,4.67,6.74,7.93,9.21,12.06,15.26,18.78,22.65,26.88,31.53,36.65
109,KClO4,0.7,1.1,1.67,2.04,2.47,3.54,4.94,6.74,8.99,11.71,14.94,18.67
110,KF,30.9,39.8,47.3,50.41,53.2,,,,,60.0,,
111,KHCO3,18.62,21.73,24.92,26.6,28.13,31.32,34.46,37.51,40.45,,,
112,KHSO4,27.1,29.7,32.3,33.6,35.0,37.8,40.5,43.4,46.2,49.02,51.82,54.6
113,KH2PO4,11.74,14.91,18.25,19.97,21.77,25.28,28.95,32.76,36.75,40.96,45.41,50.12
114,KI,56.0,57.6,59.0,59.7,60.4,61.6,62.8,63.8,64.8,65.7,66.6,67.4
115,KIO3,4.53,5.96,7.57,8.44,9.34,11.09,13.22,15.29,17.41,19.58,21.78,24.03
116,KIO4,0.16,0.22,0.37,0.51,0.7,1.24,1.96,2.83,3.82,4.89,6.02,7.17
117,KMnO4,2.74,4.12,5.96,7.06,8.28,11.11,14.42,18.16,,,,
118,KNO2,73.7,74.6,75.3,75.7,76.0,76.7,77.4,78.0,78.5,79.1,79.6,80.1
119,KNO3,12.0,17.6,24.2,27.7,31.3,38.6,45.7,52.2,58.0,63.0,67.3,70.8
120,KOH,48.7,50.8,53.2,54.7,56.1,57.9,58.6,59.5,60.6,61.8,63.1,64.6
121,KSCN,63.8,66.4,69.1,70.4,71.6,74.1,76.5,78.9,81.1,83.3,85.3,87.3
122,K2CO3,51.3,51.7,52.3,52.7,53.1,54.0,54.9,56.0,57.2,58.4,59.6,61.0
123,K2CrO4,37.1,38.1,38.9,39.4,39.8,40.5,41.3,41.9,42.6,43.2,43.8,44.3
124,K2Cr2O7,4.3,7.12,10.9,13.1,15.5,20.8,26.3,31.7,36.9,41.5,45.5,48.9
125,K2HAsO4,48.5,,,63.6,,,,,,,,79.8
126,K2HPO4,57.0,59.1,61.5,62.7,64.1,67.7,,72.7,,,,
127,K2MoO4,,,,64.7,,,,,,,66.5,
128,K2SO3,51.3,51.39,51.49,51.55,51.62,51.76,51.93,52.11,52.32,52.54,52.79,53.06
129,K2SO4,7.11,8.46,9.95,10.7,11.4,12.9,14.2,15.5,16.7,17.7,18.6,19.3
130,K2S2O3,49.0,,,62.3,,,,,,,75.7,
131,K2S2O5,22.1,26.7,31.1,33.1,35.2,39.0,42.6,46.0,49.1,52.0,54.6,
132,K2SeO3,68.4,,,68.5,,,,,,,,68.5
133,K2SeO4,52.7,52.93,53.17,53.3,53.43,53.7,53.99,54.3,54.61,54.94,55.26,55.6
134,K3AsO4,51.5,,,55.6,,,,,,,,73.0
135,K3Fe(CN)6,23.9,27.6,31.1,32.8,34.3,37.2,39.6,41.7,43.5,45.0,46.1,47.0
136,K3PO4,44.3,,,51.4,,,,,,,,
137,K4Fe(CN)6,12.5,17.3,22.0,23.9,25.6,29.2,32.5,35.5,38.2,40.6,41.4,43.1
138,LaCl3,49.0,48.5,48.6,48.9,49.3,50.5,52.1,54.0,56.3,58.9,61.7,
139,La(NO3)3,55.0,56.9,58.9,60.0,61.1,63.6,66.3,69.9,74.1,,,
140,LiBr,58.4,60.1,62.7,64.4,65.9,67.8,68.3,69.0,69.8,70.7,71.7,72.8
